file_name;uiqm;uicm;uism;uiconm
Cam1_16_23_22_10_11_2020.mp4_00617.jpg;0.834630;2.577770;1.573100;0.759900
Cam1_16_23_22_10_11_2020.mp4_00618.jpg;0.837950;2.585930;1.558200;0.764670
Cam1_16_23_22_10_11_2020.mp4_00619.jpg;0.843460;2.584320;1.564100;0.770210
Cam1_16_23_22_10_11_2020.mp4_00620.jpg;0.827510;2.574680;1.561800;0.753080
Cam1_16_23_22_10_11_2020.mp4_00621.jpg;0.829550;2.566330;1.533100;0.757750
Cam1_16_23_22_10_11_2020.mp4_00622.jpg;0.835680;2.562480;1.533100;0.764460
Cam1_16_23_22_10_11_2020.mp4_00623.jpg;0.822900;2.727270;1.557700;0.747180
Cam1_16_23_22_10_11_2020.mp4_00624.jpg;0.827890;2.698730;1.538600;0.754430
Cam1_16_23_22_10_11_2020.mp4_00625.jpg;0.835420;2.690440;1.564900;0.760550
Cam1_16_23_22_10_11_2020.mp4_00626.jpg;0.829250;2.714670;1.556700;0.754300
Cam1_16_23_22_10_11_2020.mp4_00627.jpg;0.830730;2.729190;1.528500;0.758120
Cam1_16_23_22_10_11_2020.mp4_00628.jpg;0.838510;2.725430;1.533500;0.766230
Cam1_16_23_22_10_11_2020.mp4_00629.jpg;0.844000;2.523700;1.593700;0.768840
Cam1_16_23_22_10_11_2020.mp4_00630.jpg;0.845410;2.539850;1.565900;0.772540
Cam1_16_23_22_10_11_2020.mp4_00631.jpg;0.852060;2.536320;1.565400;0.779860
Cam1_16_23_22_10_11_2020.mp4_00632.jpg;0.867420;2.571330;1.602100;0.793300
Cam1_16_23_22_10_11_2020.mp4_00633.jpg;0.866790;2.558480;1.566600;0.795650
Cam1_16_23_22_10_11_2020.mp4_00634.jpg;0.868630;2.555040;1.567000;0.797640
Cam1_16_23_22_10_11_2020.mp4_00635.jpg;0.865830;2.647870;1.601700;0.790990
Cam1_16_23_22_10_11_2020.mp4_00636.jpg;0.863210;2.647800;1.556600;0.791860
